branch	tip_sha	last_commit	subject
ag-diag-containerd-blob-1544	e5f501387847562540ee4c56a26b8dda61726c2c	2026-08-02	[REVIEW] Diagnose containerd blob commit failure
ag-diag-docker-published-port-1533	a4b0130d36a1549ce29142bdd8f22acedaeaacf6	2026-08-02	[REVIEW] Diagnose Docker published-port reachability
ag-diag-full-suite-1524	a746a3d734c5b864532cdddd55b7f74ae2b63b0a	2026-08-02	[REVIEW] correct fixture cleanup evidence
ag-diag-host-loopback-1533	5477b1f39338fea8bd446042e45629bf856685de	2026-08-02	[REVIEW] diagnose lane loopback cgroup boundary
ag-diag-hr1295-mcp-timeout	9a5c985ad8580b72562b884820a8736c97c93b27	2026-08-02	[REVIEW] diagnose HR-1295 MCP test timeout
ag-diag-hr1295-restart-timeout	d01c46fc24a6e22deccc8ec0b443ba146ecfb4a7	2026-08-02	[REVIEW] diagnose HR-1295 restart test timeout
ag-diag-lane-loopback-1508	dd022ad9d89494bcd4d3585b17da98bcdf443dd7	2026-08-02	[REVIEW] Diagnose loopback runtime capability
ag-diag-report-binding-1524	c2e98f8ce419fd595f1cde188cfa4a49acc8b246	2026-08-02	[REVIEW] diagnose terminal report self-binding
ag-diag-runtime-loopback-r11-1544	81985720f3cab517edd6a3699f2473fe061a546a	2026-08-02	[REVIEW] diagnose runtime-loopback external boundary
ag-diag-tg-transport-1494	edcd2776894a5eb268d42a02292dd0568efa3cb0	2026-08-02	[REVIEW] diagnose Telegram transport degradation
ag-diagnose-watchdog-health-w20-1551	16f6205f7a7ee403c03fccf3e464fb0454f003e6	2026-08-02	[REVIEW] diagnose W20 watchdog health failures
ag-estimate-parallel-1494	21b3e18c0959c7a534632efac51ae7635b3fd19d	2026-08-02	[CODER] Estimate delivery from parallel critical path
ag-fill10-authority-ops	4e7fdfb1574984dae5376d4fc310a54480ff9185	2026-08-03	[REVIEW] reject unresolved authority candidate fill10
ag-fill10-authority-ops2	d23719515dd3a5564cefe184e4eb527c46c49f70	2026-08-03	[REVIEW] reject authority r22 ops residue false green
ag-fill10-authority-sec	f7d0c5e16388a59922b6b561bc62880a5b9ff85d	2026-08-03	[REVIEW] reject authority r23 interruption false green
ag-fill10-check-sec	e515e43a5ede3198a6b95eebdcad1897dfa4276d	2026-08-03	[REVIEW] reject checkpoint restore design r5
ag-fill10-land-reg	739047561431886a947a5bfba8171a6d8c24a9a1	2026-08-03	[REVIEW] accept landing recovery r8 regression locks
ag-fill10-land-sec	75ab4aac50f33ab859a41089a7aa2ccb0ba36fe0	2026-08-03	[REVIEW] accept landing recovery r8 security fill10
ag-fill10-provider-reg	98e74e0008360566f9d82dcb96933a11f0e494de	2026-08-03	[REVIEW] reject provider launch r6 false-green locks
ag-fill10-provider-sec	30b7738ef5c8e6113fcf82fba80139a35f7196d7	2026-08-03	[REVIEW] reject provider routing r7 security boundary
ag-fill10-sprint-reg	eed29849961d1114290dce36f1b6de26dd10733a	2026-08-03	[REVIEW] reject sprint-close subject false green
ag-fill11-authority-ops	1ff2dde39aea23cbe7c1396079e10c231c7ffdc5	2026-08-03	[REVIEW] reject authority r21 identity topology
ag-fill11-authority-ops2	5324fcc98266571b45c079491b00b77175e1d97e	2026-08-03	[REVIEW] accept authority r22 migration rollback operations
ag-fill11-authority-sec	4c360091a1dc6f135c96f45c683afaf139dd0464	2026-08-03	[REVIEW] reject authority r23 security false greens
ag-fill11-check-sec	fd80837606060760156abc593609ff93f30f41c4	2026-08-03	[REVIEW] reject checkpoint restore design r5
ag-fill11-land-reg	fbf0f1df764a628e84830ff2cd25d8ae3c17d5bf	2026-08-03	[REVIEW] accept landing recovery r8 regression fill11
ag-fill11-land-sec	6021e4899260b54e09a555cf02a84f787b3bd8c0	2026-08-03	[REVIEW] accept landing recovery r8 fill11 security
ag-fill11-media-reg	6bd5e3ea2ecac7579687b31130aa24fd7f1c55f6	2026-08-03	[REVIEW] accept media r14 readiness regression lock
ag-fill11-provider-reg	af19489560e46554169b1b37a35e2dbae0de9680	2026-08-03	[REVIEW] reject provider launch r6 false-green lock
ag-fill11-provider-sec	9a0245b8de5abb6fef33a590952e089adb26cb68	2026-08-03	[REVIEW] reject provider routing r7 false green
ag-fill11-sprint-reg	06691f5aece3e632b216a372e84484a26cb011ae	2026-08-03	[REVIEW] reject sprint-close evidence false green
ag-fill12-authority-ops	2c9d78923bd4c00b53e5e6a545a50b44252edf8a	2026-08-03	[REVIEW] reject authority r21 candidate identity fill12
ag-fill12-authority-sec	7baf0158310734ded0b9c9b24753a5ee02495e2a	2026-08-03	[REVIEW] reject authority r23 security false greens
ag-fill12-check-sec	2616d684de389f73df937bb5ec660b42bbb695c2	2026-08-03	[REVIEW] reject checkpoint restore architecture r5
ag-fill12-provider-reg	a4c39743476f54f4f6515521da19713db4e0a68a	2026-08-03	[REVIEW] reject provider launch r6 false-green lock fill12
ag-fill12-provider-sec	2fb4bfb652f46af0dbc1a4bf82894b63a2d1b16b	2026-08-03	[REVIEW] reject provider routing r7 namespace boundary
ag-fill12-sprint-reg	51d408b8bdeb4fdbf133d9d5cd3d9a49fdc5e757	2026-08-03	[REVIEW] reject sprint-close evidence false green
ag-fill13-authority-ops	2e43e2e439a3cef416716634f79c5b78ba165822	2026-08-03	[REVIEW] reject authority r21 identity topology fill13
ag-fill13-authority-sec-review	d45725dfbaffb0f0fe3bc93c6a923037e2c1b9e3	2026-08-03	[REVIEW] reject authority r23 security false greens fill13
ag-fill13-check-sec	b2ec875b0ca575cce6abc9b2fe7467c69a53e5ee	2026-08-03	[REVIEW] reject checkpoint restore design r5
ag-fill13-land-sec	96c9b11d18f5bf4d318dc15d3d06f9a1f7ff0319	2026-08-03	[REVIEW] accept landing recovery r8 fill13 security
ag-fill13-provider-reg	c9726a47a567b842c75c07980fb900af6031b544	2026-08-03	[REVIEW] reject provider launch r6 false-green lock fill13
ag-fill13-provider-sec	66e2ec4ac1f09372ce35b555b9feab3dcbd14e8a	2026-08-03	[REVIEW] reject provider routing r7 cleanup evidence
ag-fill13-sprint-reg	71461790683d5f68ec2a952cd18dd89510d47ea5	2026-08-03	[REVIEW] reject sprint-close evidence false green
ag-fill14-authority-ops	ad21008cac26586d6fdd7128ce82d2ccae8a2e7f	2026-08-03	[REVIEW] accept authority r21 operations rollback
ag-fill14-authority-ops2	9d9dae9fea40c0670d28892df0b647b301196794	2026-08-03	[REVIEW] reject authority r22 upgrade residue false green
ag-fill14-authority-sec	3d3a7805a942f5a18f1efa1aa3d42a1061e42821	2026-08-03	[REVIEW] accept authority r23 residue rework
ag-fill14-check-sec	5e5a2721882a9613a6e3afbe2593fccab629e609	2026-08-03	[REVIEW] reject checkpoint restore design r5
ag-fill14-land-reg	0ec72042dd172dd73924cb8539836fb421d61c0d	2026-08-03	[REVIEW] accept landing recovery regression lock
ag-fill14-land-sec	3c1c818f1d511ef7944a790a3a3b9d16e808dff6	2026-08-03	[REVIEW] accept landing recovery r8 fill14 security
ag-fill14-media-reg	468f88ad969ea803199b85add8a5aeecf1798e5c	2026-08-03	[REVIEW] reject media r14 aggregate hang
ag-fill14-provider-reg	7d6a909d47d607813ce4b204bd53cf4dfb4d2f97	2026-08-03	[REVIEW] reject provider sandbox false green
ag-fill14-provider-sec	58515ce2a03157cea3556468feae135b92f2fceb	2026-08-03	[REVIEW] reject provider routing r7 false green fill14
ag-fill14-sprint-reg	8e320857753f31e6626e381d8b95cc22d0da9674	2026-08-03	[REVIEW] reject sprint-close evidence false green
ag-fill15-authority-ops	fcc554fe1139b99c2f5d2f464fd94c0742a97c5a	2026-08-03	[REVIEW] reject unresolved authority candidate fill15
ag-fill15-authority-ops2	be78f491a21b73d7ed54c93595cac28db16eb97b	2026-08-03	[REVIEW] accept authority r22 operations recovery
ag-fill15-authority-sec	5474f75098cfa704663c6bdcc18f6f5a4894d513	2026-08-03	[REVIEW] accept authority r23 residue cleanup
ag-fill15-check-sec	3421e552def12a7f09cd10c6e20ac96c57524b8a	2026-08-03	[REVIEW] reject checkpoint restore design r5 security
ag-fill15-land-reg	d67601798b4eecb7cf88b942843dc874962c2d65	2026-08-03	[REVIEW] accept landing recovery regression lock
ag-fill15-land-sec	4e2ade1db47816bce278136b64de88b501083690	2026-08-03	[REVIEW] accept landing recovery r8 fill15 security
ag-fill15-media-reg-review	946d8647b576bd8cd03c11551b8efa9ec1eab96f	2026-08-03	[REVIEW] reject media r14 readiness candidate
ag-fill15-provider-reg	933c4e44a690de378c1476029da055bd26a5c6df	2026-08-03	[REVIEW] reject provider launch r6 false green
ag-fill15-provider-sec	7ba3ca00c42ddb3a7881e5afa76d1bf44932259e	2026-08-03	[REVIEW] reject provider routing r7 cleanup false green
ag-fill15-sprint-reg	7f525bf5679ef0f557cc98e276a4acd7ad147d8b	2026-08-03	[REVIEW] reject sprint-close false-green candidate
ag-fill16-authority-ops	5d23d8ee39c063c8cbacc53accb831967c356f51	2026-08-03	[REVIEW] reject authority r21 operations topology
ag-fill16-authority-ops2	cc40fffc34ad91a2313e4cf6b1f84dc08b272af8	2026-08-03	[REVIEW] reject authority r22 operations residue false green
ag-fill16-authority-sec	6cf83b4b02c99a6cbd69299df2bad4359b530d6e	2026-08-03	[REVIEW] accept authority r23 residue cleanup fill16
ag-fill16-check-sec	279ef04977353632d3b71b3699c2aa16ac7acc44	2026-08-03	[REVIEW] reject checkpoint restore design r5
ag-fill16-land-reg	97cdd3f0c46fd311f05b19ea935b08a0bc24a3ab	2026-08-03	[REVIEW] accept landing recovery r8 regression
ag-fill16-land-sec	74277de5d366071ceafb91e84898dee5803262a3	2026-08-03	[REVIEW] accept landing recovery r8 security boundary
ag-fill16-provider-reg	46c0d488141e8eece81d7da32c351ca67e7ac407	2026-08-03	[REVIEW] reject provider launch false-green lock
ag-fill16-provider-sec	e5ca126fe4f1336f08dc23cba2477380cd79d301	2026-08-03	[REVIEW] reject provider routing r7 cleanup false green
ag-fill16-sprint-reg	5850e7f5af078f34b0c59a43ce3d5e4fe79be8c8	2026-08-03	[REVIEW] reject sprint-close candidate on incomplete full suite
ag-fill17-authority-ops	40b84769c84d3c2a51d5324d682d42db72f4ea2c	2026-08-03	[REVIEW] reject unavailable fill17 authority candidate
ag-fill17-authority-ops2	a8d7b1df291d17a83941ecea80d13cc76f86629a	2026-08-03	[REVIEW] reject authority r22 owned systemd residue
ag-fill17-authority-sec	e45e53c024c99f4f566cc5f5eb0fe71b3936c246	2026-08-03	[REVIEW] reject authority r23 interruption false green
ag-fill17-check-sec	149f75f05f6474f5aec8890edea8aa44fe7c7e9f	2026-08-03	[REVIEW] reject checkpoint restore design r5
ag-fill17-land-reg	693a5b90af720afbfb567e64d26e1c9bef264432	2026-08-03	[REVIEW] accept landing recovery r8 regression
ag-fill17-land-sec	db4c95fb7d7d52dab3b050b07b63fa1dbfa60b41	2026-08-03	[REVIEW] accept landing recovery r8 security boundary
ag-fill17-provider-reg	07a6ff8140623977633fe85c882042117332755b	2026-08-03	[REVIEW] reject provider launch r6 false-green evidence
ag-fill17-provider-sec	1c5954861cc0ea9c0cb6568e284548f0da584fe4	2026-08-03	[REVIEW] reject provider routing r7 cleanup false-green
ag-fill17-sprint-reg	243a472e6d6f07dce71fcdd4c60458c4d7fe3b50	2026-08-03	[REVIEW] reject sprint-close evidence false green
ag-fill18-authority-ops	89f10243e46d065fb0ce6c1eaf2ca2f37e391ecb	2026-08-03	[REVIEW] reject unresolved authority candidate fill18
ag-fill18-authority-sec	e5d570e16e02fa1819597e5b4cf5cb058e038990	2026-08-03	[REVIEW] reject authority r23 residue lock
ag-fill18-check-sec	cea78f77e3fc57574e92d3704e79c9677e3b88de	2026-08-03	[REVIEW] reject checkpoint restore design r5
ag-fill18-land-reg	20e33e8e526e3443bed6d360cfec9d2048b5ff92	2026-08-03	[REVIEW] accept landing recovery r8 regression
ag-fill18-land-sec	9e2f1e1fb170ecca5a78908111bedbb97e4cc993	2026-08-03	[REVIEW] accept landing recovery r8 security fill18
ag-fill18-media-reg	94884e68ea0c490c70e0e0646d22cd10364c1882	2026-08-03	[REVIEW] reject media r14 readiness false-green
ag-fill18-provider-reg	44adea37324e38b6e226cac52a1c642017965a47	2026-08-03	[REVIEW] reject provider r6 live false-green lock
ag-fill18-provider-sec	1a468255af1eccd1a0525cb60e5b462ce5e91761	2026-08-03	[REVIEW] reject provider routing r7 cleanup and readiness
ag-fill18-sprint-reg	07a1c64ccb5ebbe4b715ed7a16debe3f33aca307	2026-08-03	[REVIEW] reject sprint-close cleanup false green
ag-fill19-authority-ops	1af56595868c61abe0315f9899adb835f84ba9f4	2026-08-03	[REVIEW] reject authority r21 fill19 topology mismatch
ag-fill19-authority-ops2	6ddcc0ff83430fb7472a83d39c65ffc3e43ddbcd	2026-08-03	[REVIEW] reject authority r22 operations residue false green
ag-fill19-authority-sec	d8273e14ce8baac6c2bc07469906f63fa468824c	2026-08-03	[REVIEW] reject authority r23 interruption false green
ag-fill19-check-sec	2fa833cd26e991f25185a782056744ce8bc46f20	2026-08-03	[REVIEW] reject checkpoint restore architecture r5
ag-fill19-land-reg	881769b2053d4d570b7750a760c1dfcb93dfbedf	2026-08-03	[REVIEW] accept landing recovery mutation locks
ag-fill19-land-sec	8371f4a3391b5a1af92ca955123c025c8e1e17a1	2026-08-03	[REVIEW] accept landing recovery r8 security
ag-fill19-media-reg	fa1aedf37a05928740e361ef000f48abb00afcd3	2026-08-03	[REVIEW] reject media r14 readiness evidence
ag-fill19-provider-reg	c528e087496826a5cec576b31eff412cc5362ed6	2026-08-03	[REVIEW] reject provider live sandbox false green
ag-fill19-provider-sec	b55e7cae21ccd79b994795209f37e9204d4de576	2026-08-03	[REVIEW] reject provider routing r7 namespace boundary
ag-fill19-sprint-reg	dcb657ef197605d2955815433a1a4989f640af90	2026-08-03	[REVIEW] reject sprint-close evidence false greens
ag-fill20-authority-ops	824e7491b4514b032827cd3ab3642b9a34a92fa8	2026-08-03	[REVIEW] reject unavailable authority r20 candidate
ag-fill20-authority-sec	ad516d3dea214a725fbfde7a75850073c2c23466	2026-08-03	[REVIEW] reject authority r23 residue lock false green
ag-fill20-check-sec	f8a762aa40a6865ef59abd3ca9033fd48951cd71	2026-08-03	[REVIEW] reject checkpoint restore design r5
ag-fill20-land-sec	d6b11d0ea848edf9edd1e2eb32893524bcc27a05	2026-08-03	[REVIEW] accept landing recovery r8 fill20 security
ag-fill20-media-reg	81e587f2d2a3209cea0e816e32ac3f3e5ed2d957	2026-08-03	[REVIEW] reject media r14 on aggregate failure
ag-fill20-provider-reg	263a18f3b40b1e67f065b67b3bc2d175bc8e89e1	2026-08-03	[REVIEW] reject provider launch r6 false-green locks
ag-fill20-provider-sec	1cc73a13a89f9984dbcc1f2c0e45d164fbb943ba	2026-08-03	[REVIEW] reject provider routing r7 namespace evidence
ag-fill20-sprint-reg	0f2aa89155f1d2482e3ca2ab39e6c6f9df1e23f4	2026-08-03	[REVIEW] reject sprint-close evidence false green
ag-fill21-authority-ops	224cbb6a96739297da826169eeae475065df700e	2026-08-03	[REVIEW] reject authority r21 candidate identity
ag-fill21-authority-sec	e37ee7c57e164263ddc0808ddc70be426c7a83e3	2026-08-03	[REVIEW] accept authority r23 residue lock
ag-fill21-check-sec	d180638441c3c54bdd1c1a82146e4841224f0b4f	2026-08-03	[REVIEW] reject checkpoint restore design r5
ag-fill21-media-reg	cfcdd50ae8a8709e966ad507d2b5969fbf3ecfbd	2026-08-03	[REVIEW] accept media r14 readiness rework
ag-fill21-provider-reg	791f1bc61442c660c35a489a84d6938d23e4bc7f	2026-08-03	[REVIEW] reject provider sandbox deletion false green
ag-fill21-provider-sec	c2f1e62af82e963ebddc383fa59e8de623d5e099	2026-08-03	[REVIEW] reject provider routing r7 namespace boundary
ag-fill21-sprint-reg	d6ba09c017ec27c4122e60645abbf164f5dad4b9	2026-08-03	[REVIEW] NO-GO sprint-close candidate on full-suite evidence
ag-fill22-authority-ops	7cdda843b32ec4c6d4a343ee46761e13ab678a9e	2026-08-03	[REVIEW] reject unresolved authority candidate
ag-fill22-authority-sec	3583c151f71d5d62e7cb8055411fe2f9b8572336	2026-08-03	[REVIEW] accept authority r23 security evidence
ag-fill22-check-sec	65e136c1acf1c4958945cd725f9632eeb08603e6	2026-08-03	[REVIEW] reject checkpoint restore design r5
ag-fill22-land-sec	e5aeef45e380d041fdbe527183222868c1224a37	2026-08-03	[REVIEW] accept landing recovery r8 fill22 security
ag-fill22-media-reg	42f29b66697556d50f9189dea40e58565d87d91a	2026-08-03	[REVIEW] accept media r14 readiness causal locks
ag-fill22-provider-reg	41be5a0f9911d32a5c555a01e526d23a5390cf60	2026-08-03	[REVIEW] reject provider sandbox deletion false green
ag-fill22-provider-sec	bd42031fe2ef8006f490cf81ecee28b32aeeba8d	2026-08-03	[REVIEW] reject provider routing deletion false green
ag-fill22-sprint-reg	3105b917374195cc7edb38288b7dfc5b72acf47a	2026-08-03	[REVIEW] reject sprint-close evidence false green
ag-fill23-authority-ops	623f3b11f005a2e9db3300fd2e4fa54ed3634281	2026-08-03	[REVIEW] reject authority r21 ancestry mismatch
ag-fill23-authority-sec	79aa6a3836008284a42f6650c2a1175def4b1f75	2026-08-03	[REVIEW] accept authority r23 residue security
ag-fill23-check-sec	36b2fd4de5262863980993750724d54981b0bb62	2026-08-03	[REVIEW] reject checkpoint restore design r5
ag-fill23-provider-reg	fd0cbddd91efafa2eecf1eea7eedafccea906ceb	2026-08-03	[REVIEW] reject provider launch r6 false-green lock
ag-fill23-provider-sec	425cb0435226c3d0757a502211c956ccc1d80ccc	2026-08-03	[REVIEW] reject provider routing r7 real-systemd evidence
ag-fill23-sprint-reg	fbd8d996abfbd016e51d5b7fb3541b95df234489	2026-08-03	[REVIEW] reject sprint-close evidence false green
ag-fill24-authority-ops	fd841fa2355f1eec63e0350e50ec15df8678a597	2026-08-03	[REVIEW] reject unresolved authority r21 candidate fill24
ag-fill24-authority-sec	39049e344169f912c7e3ff7675aef104a5de3ef0	2026-08-03	[REVIEW] accept authority r23 residue fill24 security
ag-fill24-check-sec	663f793454a39e1cbdeaa016022660f025f77885	2026-08-03	[REVIEW] reject checkpoint restore design r5
ag-fill24-land-reg	b39a4a75cb21ef8847a46d437402adcaf5fd5ee9	2026-08-03	[REVIEW] accept landing recovery r8 regression
ag-fill24-land-sec	0ef079f7e05ad80dc856b8825a90ee89eb35f0c2	2026-08-03	[REVIEW] accept landing recovery r8 security locks
ag-fill24-media-reg	57fceafc00cc8b795eb3febeee9febd019176f10	2026-08-03	[REVIEW] reject media r14 aggregate false green
ag-fill24-provider-reg	d496ba7ee47dcc93de21836a6703ff4fe84d43cc	2026-08-03	[REVIEW] reject provider routing r6 false-green locks
ag-fill24-provider-sec	40e50b5a91ac65a2b16e4ea8aa4f070a8505a5fa	2026-08-03	[REVIEW] reject provider namespace confinement
ag-fill24-sprint-reg	f8fba358dc633a25f208422aeac055d39933e304	2026-08-03	[REVIEW] reject sprint-close source-only evidence
ag-fill25-authority-ops2	752174bb8bebea5933e249c8a4e275e249e3b111	2026-08-03	[REVIEW] reject authority r22 operations residue
ag-fill25-authority-sec	26c8a594b0f357e8a2f0f7374b3be21ac89367f2	2026-08-03	[REVIEW] reject authority r23 loaded collision gap
