# Locations that deliberately have no row in instance/host-state.tsv. This file
# is part of the enumeration, not an escape from it: every line is a place that
# was looked at and a reason it needs no row of its own.
#
# prefix<TAB>scope<TAB>reason
#
# prefix  a path template. `*` matches one path segment, and so does a $VAR this
#         host has no value for -- which is how one line covers per-run scratch
#         like review-dispatch.<mktemp suffix> without an edit per run.
# scope   WHICH scan the excuse applies to, and getting this wrong is how the
#         blind spot comes back:
#           source  the drift scan only -- a path literal in tracked code that
#                   needs no row. Checked closed: tools/check-host-state.ts
#                   rejects one no tracked file names any more, so a stale
#                   excuse cannot outlive the code that justified it.
#           host    the sweep only -- something that exists on this filesystem
#                   and is not this control plane's state. A host excuse that
#                   matches nothing is REPORTED, not failed: a host getting
#                   cleaner must never turn the sweep red.
#           both    true of the literal and of the file.
#
# $XDG_STATE_HOME below is exactly why the column exists. It is excused as a
# source literal because meteorite/run.sh names the bare root and composes the
# real path from a variable. Letting that excuse reach the host sweep would make
# the whole of ~/.local/state invisible -- which is precisely where the
# reviewer's unlisted fixture sat when round 1 reported clean.
$HOME/.claude/cache	host	Harness-internal cache.
$HOME/.claude/paste-cache	host	Harness-internal cache.
$HOME/.claude/plugins	host	Harness plugin install directory, reinstallable.
$HOME/.claude/session-env	host	Per-session environment scratch, dead with the session.
$HOME/.claude/shell-snapshots	host	Per-session shell snapshots, dead with the session.
$HOME/.claude/.last-cleanup	host	Harness housekeeping marker.
$HOME/.claude/.last-update-result.json	host	Harness self-update marker.
/home/bpa-shell/.bash_logout	host	Login shell configuration owned by the OS account.
/home/bpa-shell/.bashrc	host	Login shell configuration owned by the OS account.
/home/bpa-shell/.profile	host	Login shell configuration owned by the OS account.
/home/bpa-shell/.cloud-locale-test.skip	host	Cloud-image locale marker written by the distribution.
/home/bpa-shell/.npm	host	npm's own cache under the second account.
/home/bpa-shell/.config	host	Third-party tool configuration under the second account; nothing here writes to it.
/home/bpa-shell/.local	host	XDG data/state root under the second account, holding third-party tooling state only.
/var/lib/agentic-bpa	host	Runtime state of the v2 PRODUCT (the agentic-bpa units), not of this control plane. Enumerating the product's state is the product repository's obligation; the boundary is instance/params.yaml phase=sole-mission.
/var/lib/bpa-edge-last-good	host	Same domain boundary as agentic-bpa: the v2 product's edge rollback marker.
/var/lib/bpa-previews	host	Same domain boundary as agentic-bpa: the v2 product's preview builds.
/var/lib/bpa-authority-test-*	host	Per-run authority fixtures left by bootstrap/provision-service-user.test.sh, named bpa-authority-test-<pid>-<n>. Disposable by construction -- a rebuild needs none of them. That ten survive is the reap gap F5 names; the non-test root is the lane-provision-root row (F11).
